"Statistic Label","Year","Nace Rev 2 Activity","UNIT","VALUE"
"Labour Costs - Total","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","1516134"
"Labour Costs - Total","2019","Building completion and finishing (433)","Euro Thousand","543939"
"Labour Costs - Total","2019","Other specialised construction activities (439)","Euro Thousand","600714"
"Labour Costs - Total","2019","Construction (41 to 43)","Euro Thousand","4689607"
"Labour Costs - Total","2020","Development of building projects (411)","Euro Thousand","139262"
"Labour Costs - Total","2020","Construction of residential and non-residential buildings (412)","Euro Thousand","1223634"
"Labour Costs - Total","2020","Construction of roads and railways (421)","Euro Thousand","158260"
"Labour Costs - Total","2020","Construction of utility projects (422)","Euro Thousand","131502"
"Labour Costs - Total","2020","Construction of other civil engineering projects (429)","Euro Thousand","133674"
"Labour Costs - Total","2020","Demolition and site preparation (431)","Euro Thousand","73281"
"Labour Costs - Total","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","1446771"
"Labour Costs - Total","2020","Building completion and finishing (433)","Euro Thousand","461289"
"Labour Costs - Total","2020","Other specialised construction activities (439)","Euro Thousand","527002"
"Labour Costs - Total","2020","Construction (41 to 43)","Euro Thousand","4294674"
"Turnover - Principal","2019","Development of building projects (411)","Euro Thousand",""
"Turnover - Principal","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Principal","2019","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Principal","2019","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Principal","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Principal","2019","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Principal","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Principal","2019","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Principal","2019","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Principal","2019","Construction (41 to 43)","Euro Thousand",""
"Turnover - Principal","2020","Development of building projects (411)","Euro Thousand",""
"Turnover - Principal","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Principal","2020","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Principal","2020","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Principal","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Principal","2020","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Principal","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Principal","2020","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Principal","2020","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Principal","2020","Construction (41 to 43)","Euro Thousand",""
"Turnover - Subcontractor","2019","Development of building projects (411)","Euro Thousand",""
"Turnover - Subcontractor","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Subcontractor","2019","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Subcontractor","2019","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Subcontractor","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Subcontractor","2019","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Subcontractor","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Subcontractor","2019","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Subcontractor","2019","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Subcontractor","2019","Construction (41 to 43)","Euro Thousand",""
"Turnover - Subcontractor","2020","Development of building projects (411)","Euro Thousand",""
"Turnover - Subcontractor","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Subcontractor","2020","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Subcontractor","2020","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Subcontractor","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Subcontractor","2020","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Subcontractor","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Subcontractor","2020","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Subcontractor","2020","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Subcontractor","2020","Construction (41 to 43)","Euro Thousand",""
"Turnover - Manufacturing","2019","Development of building projects (411)","Euro Thousand",""
"Turnover - Manufacturing","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Manufacturing","2019","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Manufacturing","2019","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Manufacturing","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Manufacturing","2019","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Manufacturing","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Manufacturing","2019","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Manufacturing","2019","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Manufacturing","2019","Construction (41 to 43)","Euro Thousand",""
"Turnover - Manufacturing","2020","Development of building projects (411)","Euro Thousand",""
"Turnover - Manufacturing","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Manufacturing","2020","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Manufacturing","2020","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Manufacturing","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Manufacturing","2020","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Manufacturing","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Manufacturing","2020","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Manufacturing","2020","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Manufacturing","2020","Construction (41 to 43)","Euro Thousand",""
"Turnover - Factored goods","2019","Development of building projects (411)","Euro Thousand",""
"Turnover - Factored goods","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Turnover - Factored goods","2019","Construction of roads and railways (421)","Euro Thousand",""
"Turnover - Factored goods","2019","Construction of utility projects (422)","Euro Thousand",""
"Turnover - Factored goods","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Turnover - Factored goods","2019","Demolition and site preparation (431)","Euro Thousand",""
"Turnover - Factored goods","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Turnover - Factored goods","2019","Building completion and finishing (433)","Euro Thousand",""
"Turnover - Factored goods","2019","Other specialised construction activities (439)","Euro Thousand",""
"Turnover - Factored goods","2019","Construction (41 to 43)","Euro Thousand",""
"Turnover - Factored goods","2020","Development of building projects (411)","Euro Thousand",""
