"Statistic Label","Year","Persons Engaged","UNIT","VALUE"
"Gross value added at basic prices","2019","0 - 9","Euro Thousand","3973060"
"Gross value added at basic prices","2019","10 - 49","Euro Thousand","2004786"
"Gross value added at basic prices","2019","50 - 249","Euro Thousand","1239654"
"Gross value added at basic prices","2019","250 and over","Euro Thousand","1461971"
"Gross value added at basic prices","2020","0 - 9","Euro Thousand","3864803"
"Gross value added at basic prices","2020","10 - 49","Euro Thousand","1917121"
"Gross value added at basic prices","2020","50 - 249","Euro Thousand","1007769"
"Gross value added at basic prices","2020","250 and over","Euro Thousand","1289383"
"Gross value added at factor cost","2019","0 - 9","Euro Thousand","3959059"
"Gross value added at factor cost","2019","10 - 49","Euro Thousand","1996321"
"Gross value added at factor cost","2019","50 - 249","Euro Thousand","1236239"
"Gross value added at factor cost","2019","250 and over","Euro Thousand","1458700"
"Gross value added at factor cost","2020","0 - 9","Euro Thousand","3842481"
"Gross value added at factor cost","2020","10 - 49","Euro Thousand","1906387"
"Gross value added at factor cost","2020","50 - 249","Euro Thousand","996725"
"Gross value added at factor cost","2020","250 and over","Euro Thousand","1284711"
